[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\MATE 2.lcd
Output Date	27/02/2025
Output Time	02:13:29

[File Information]
Type	Data File
Generated	27/02/2025 01:23:01
Generated by	System Administrator
Modified	27/02/2025 02:13:29
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27/02/2025 01:23:25
Sample Type	0:Unknown
Level	0
Sample Name	MATE 2
Sample ID	MATE 2
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	21
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\MATE 2.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	94
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,585	1,120	1,707	166343	13240	12,563	0,000	   			0,000	246	609,129	0,000	0,000	0,000	0	0	0,000	0,000
2	1,768	1,707	1,803	111674	25751	4,337	0,000	 V 			0,115	709	211,457	0,000	0,546	0,000	0	0	0,000	0,000
3	1,846	1,803	2,005	223733	22634	9,885	0,000	 V 			0,165	51	2964,143	0,000	0,120	1,428	0	0	0,000	0,000
4	2,095	2,005	2,432	611118	47771	12,793	0,000	 V 			0,322	764	196,302	0,000	0,371	1,954	0	0	0,000	0,000
5	2,475	2,432	2,581	76632	9233	8,300	0,000	 V 			0,561	26	5760,016	0,000	0,339	1,745	0	0	0,000	0,000
6	2,633	2,581	2,752	72955	8004	9,115	0,000	 V 			0,661	78	1925,644	0,000	0,101	1,177	0	0	0,000	0,000
7	2,897	2,752	3,275	491446	47394	10,369	0,000	 V 			0,827	2432	61,690	0,000	0,370	1,252	0	0	0,000	0,000
8	3,402	3,275	3,477	71661	6538	10,960	0,000	 V 			1,146	253	592,841	0,000	0,927	1,385	0	0	0,000	0,000
9	3,517	3,477	3,627	39231	5979	6,562	0,000	 V 			1,219	442	339,025	0,000	0,151	1,063	0	0	0,000	0,000
10	3,838	3,627	3,979	99154	6393	15,510	0,000	 V 			1,421	754	198,990	0,000	0,522	1,166	0	0	0,000	0,000
11	4,132	3,979	4,341	383259	43533	8,804	0,000	 V 			1,607	5013	29,924	0,000	0,744	1,131	0	0	0,000	0,000
12	4,479	4,341	4,587	92492	7959	11,621	0,000	 V 			1,826	1350	111,071	0,000	0,962	1,136	0	0	0,000	0,000
13	4,686	4,587	4,875	98479	9128	10,789	0,000	 V 			1,956	2685	55,870	0,000	0,486	1,071	0	0	0,000	0,000
14	5,032	4,875	5,216	55923	3001	18,635	0,000	 V 			2,174	265	566,561	0,000	0,433	1,112	0	0	0,000	0,000
15	5,501	5,216	5,877	153755	5900	26,059	0,000	 V 			2,470	1019	147,205	0,000	0,487	1,136	0	0	0,000	0,000
16	6,049	5,877	6,197	114960	10156	11,319	0,000	 V 			2,816	5721	26,219	0,000	1,085	1,140	0	0	0,000	0,000
17	6,436	6,197	6,699	2876054	260152	11,055	0,000	 V 			3,060	7334	20,454	1,117	1,248	1,087	0	0	0,000	0,000
18	6,866	6,699	7,584	835781	49692	16,819	0,000	 V 			3,331	5260	28,515	0,000	1,267	1,089	0	0	0,000	0,000
19	7,864	7,584	7,936	79951	4263	18,757	0,000	 V 			3,961	56	2663,298	0,000	0,437	1,189	0	0	0,000	0,000
20	8,031	7,936	8,160	53698	4514	11,897	0,000	 V 			4,066	1046	143,360	0,000	0,064	1,027	0	0	0,000	0,000
21	8,613	8,160	8,757	152509	4765	32,009	0,000	 V 			4,433	320	468,210	0,000	0,399	1,090	0	0	0,000	0,000
22	9,013	8,757	9,205	134520	5995	22,439	0,000	 V 			4,686	1252	119,808	0,000	0,272	1,057	0	0	0,000	0,000
23	9,364	9,205	9,483	77090	4932	15,630	0,000	 V 			4,907	312	480,203	0,000	0,224	1,047	0	0	0,000	0,000
24	9,745	9,483	9,845	168404	10945	15,387	0,000	 V 			5,148	2877	52,134	0,000	0,268	1,049	0	0	0,000	0,000
25	9,919	9,845	10,037	102194	9926	10,296	0,000	 V 			5,257	1407	106,584	0,000	0,195	1,021	0	0	0,000	0,000
26	10,153	10,037	10,219	93556	9245	10,120	0,000	 V 			5,405	585	256,621	0,000	0,171	1,028	0	0	0,000	0,000
27	10,340	10,219	10,400	114794	11432	10,041	0,000	 V 			5,523	540	277,632	0,000	0,108	1,022	0	0	0,000	0,000
28	10,493	10,400	10,677	164015	13154	12,469	0,000	 V 			5,619	3581	41,890	0,000	0,124	1,018	0	0	0,000	0,000
29	10,709	10,677	10,848	55948	5732	9,761	0,000	 V 			5,756	14	11022,254	0,000	0,035	1,024	0	0	0,000	0,000
30	11,158	10,848	13,109	7500355	588236	12,751	0,000	SV 			6,039	19525	7,683	1,162	0,075	1,049	0	0	0,000	0,000
31	11,842	11,701	12,043	19977	1901	10,506	0,000	T  			6,470	25906	5,790	0,000	2,227	1,071	0	0	0,000	0,000
32	12,230	12,043	12,437	47528	4740	10,028	0,000	TV 			6,715	30719	4,883	0,000	1,355	1,038	0	0	0,000	0,000
33	12,699	12,459	12,896	42692	3034	14,070	0,000	T  			7,011	18078	8,297	0,973	1,427	1,044	0	0	0,000	0,000
34	13,045	12,896	13,109	2193	212	10,354	0,000	TV 			7,229	47709	3,144	0,000	1,124	1,031	0	0	0,000	0,000
35	13,315	13,109	14,037	3572780	205237	17,408	0,000	 V 			7,400	16057	9,341	2,877	0,819	1,024	0	0	0,000	0,000
36	14,249	14,037	14,571	631504	40611	15,550	0,000	 V 			7,989	26427	5,676	0,000	2,423	1,080	0	0	0,000	0,000
37	14,772	14,571	14,891	268595	18200	14,758	0,000	 V 			8,319	10225	14,671	0,000	1,118	1,041	0	0	0,000	0,000
38	15,035	14,891	15,200	281618	19429	14,495	0,000	 V 			8,485	10483	14,309	0,000	0,450	1,020	0	0	0,000	0,000
39	15,374	15,200	15,541	385474	30724	12,546	0,000	 V 			8,699	30393	4,935	0,000	0,721	1,025	0	0	0,000	0,000
40	15,676	15,541	15,851	244446	16335	14,965	0,000	 V 			8,889	9576	15,664	0,000	0,608	1,022	0	0	0,000	0,000
41	15,937	15,851	16,043	114765	10203	11,249	0,000	 V 			9,054	283	530,566	0,000	0,118	1,018	0	0	0,000	0,000
42	16,315	16,043	16,437	257266	11715	21,961	0,000	 V 			9,292	590	254,134	0,000	0,117	1,026	0	0	0,000	0,000
43	16,514	16,437	16,661	144028	11128	12,943	0,000	 V 			9,417	68	2213,440	0,000	0,037	1,013	0	0	0,000	0,000
44	16,915	16,661	17,227	384324	13188	29,142	0,000	 V 			9,671	1614	92,926	0,000	0,083	1,027	0	0	0,000	0,000
45	17,378	17,227	17,440	126389	10103	12,510	0,000	 V 			9,963	109	1375,063	0,000	0,111	1,030	0	0	0,000	0,000
46	17,759	17,440	17,856	272907	11766	23,194	0,000	 V 			10,203	327	458,730	0,000	0,072	1,024	0	0	0,000	0,000
47	17,930	17,856	18,005	102135	11477	8,899	0,000	 V 			10,311	33	4508,699	0,000	0,021	1,011	0	0	0,000	0,000
48	18,192	18,005	18,379	266166	12210	21,798	0,000	 V 			10,476	405	370,492	0,000	0,033	1,016	0	0	0,000	0,000
49	18,514	18,379	18,613	168216	12219	13,767	0,000	 V 			10,679	266	563,225	0,000	0,079	1,019	0	0	0,000	0,000
50	18,779	18,613	18,901	216956	13165	16,480	0,000	 V 			10,846	1000	150,001	0,000	0,077	1,016	0	0	0,000	0,000
51	19,222	18,901	19,456	466626	15548	30,012	0,000	 V 			11,126	1527	98,208	0,000	0,204	1,026	0	0	0,000	0,000
52	19,675	19,456	20,096	1179135	83937	14,048	0,000	 V 			11,412	63193	2,374	0,000	0,397	1,026	0	0	0,000	0,000
53	20,395	20,096	20,672	1695683	138781	12,218	0,000	 V 			11,866	73578	2,039	0,000	2,346	1,040	0	0	0,000	0,000
54	20,754	20,672	20,875	167784	14117	11,885	0,000	 V 			12,092	333	449,818	0,000	0,148	1,019	0	0	0,000	0,000
55	21,084	20,875	21,259	339473	16297	20,830	0,000	 V 			12,301	3743	40,079	0,000	0,111	1,017	0	0	0,000	0,000
56	21,611	21,259	21,899	1198865	75331	15,915	0,000	 V 			12,633	57231	2,621	0,000	0,606	1,027	0	0	0,000	0,000
57	22,084	21,899	22,229	273325	14274	19,148	0,000	 V 			12,932	395	379,370	0,000	0,197	1,024	0	0	0,000	0,000
58	22,310	22,229	22,411	137887	12891	10,696	0,000	 V 			13,074	203	738,854	0,000	0,042	1,011	0	0	0,000	0,000
59	22,474	22,411	22,549	102581	12467	8,228	0,000	 V 			13,177	186	806,432	0,000	0,025	1,008	0	0	0,000	0,000
60	22,782	22,549	23,147	2663839	228301	11,668	0,000	 V 			13,372	94475	1,588	0,000	0,090	1,015	0	0	0,000	0,000
61	23,265	23,147	23,445	219435	13271	16,535	0,000	 V 			13,677	3063	48,976	0,000	0,488	1,023	0	0	0,000	0,000
62	23,648	23,445	23,936	330997	13280	24,924	0,000	 V 			13,918	408	367,513	0,000	0,120	1,018	0	0	0,000	0,000
63	24,176	23,936	24,512	465384	20746	22,433	0,000	 V 			14,251	30057	4,991	0,000	0,202	1,024	0	0	0,000	0,000
64	24,674	24,512	24,832	195111	11095	17,586	0,000	 V 			14,565	4602	32,597	0,000	0,494	1,022	0	0	0,000	0,000
65	25,136	24,832	25,397	387922	15781	24,581	0,000	 V 			14,856	10004	14,993	0,000	0,375	1,020	0	0	0,000	0,000
66	25,616	25,397	25,696	171466	10974	15,625	0,000	 V 			15,159	2271	66,043	0,000	0,304	1,020	0	0	0,000	0,000
67	25,794	25,696	26,496	428343	11590	36,959	0,000	 V 			15,272	1104	135,896	0,000	0,068	1,007	0	0	0,000	0,000
68	26,989	26,496	27,307	395855	10911	36,282	0,000	 V 			16,026	18	8218,844	0,000	0,084	1,049	0	0	0,000	0,000
69	27,446	27,307	27,605	127316	8104	15,710	0,000	 V 			16,314	13851	10,830	0,000	0,035	1,018	0	0	0,000	0,000
70	27,707	27,605	28,171	182999	6586	27,786	0,000	 V 			16,478	731	205,320	0,000	0,104	1,010	0	0	0,000	0,000
71	28,331	28,171	28,544	98943	4614	21,444	0,000	 V 			16,872	648	231,500	0,000	0,146	1,024	0	0	0,000	0,000
72	28,669	28,544	28,747	51200	4270	11,990	0,000	 V 			17,085	373	402,553	0,000	0,065	1,013	0	0	0,000	0,000
73	28,811	28,747	29,312	117109	4139	28,291	0,000	 V 			17,175	170	884,189	0,000	0,019	1,005	0	0	0,000	0,000
74	29,646	29,312	30,059	122600	3018	40,619	0,000	 V 			17,702	1134	132,291	0,000	0,135	1,031	0	0	0,000	0,000
75	30,139	30,059	30,539	53435	2304	23,189	0,000	 V 			18,013	223	673,118	0,000	0,085	1,018	0	0	0,000	0,000
76	30,635	30,539	30,773	20083	1469	13,667	0,000	 V 			18,325	1010	148,566	0,000	0,083	1,017	0	0	0,000	0,000
77	30,918	30,773	31,125	27925	1614	17,300	0,000	 V 			18,504	18108	8,284	0,000	0,118	1,010	0	0	0,000	0,000
78	31,232	31,125	31,541	18070	875	20,652	0,000	 V 			18,702	284	528,968	0,000	0,075	1,011	0	0	0,000	0,000
79	31,733	31,541	31,989	8396	459	18,307	0,000	 V 			19,018	1679	89,319	0,000	0,095	1,017	0	0	0,000	0,000
80	32,659	32,480	32,779	9600	1023	9,384	0,000	   			19,603	279389	0,537	0,858	0,554	1,031	0	0	0,000	0,000
81	33,974	32,821	34,027	378708	8317	45,535	0,000	   			20,432	4527	33,131	0,000	1,160	1,042	0	0	0,000	0,000
82	34,089	34,027	34,165	64036	7965	8,040	0,000	 V 			20,504	1893	79,242	0,000	0,044	1,004	0	0	0,000	0,000
83	34,304	34,165	34,336	75239	7471	10,071	0,000	 V 			20,640	3556	42,184	0,000	0,079	1,007	0	0	0,000	0,000
84	34,497	34,336	34,603	118928	8026	14,818	0,000	 V 			20,762	12065	12,432	0,000	0,108	1,006	0	0	0,000	0,000
85	35,074	34,603	35,424	1078470	121251	8,895	0,000	 V 			21,126	680279	0,220	0,000	0,810	1,018	0	0	0,000	0,000
86	35,493	35,424	35,563	139432	20831	6,693	0,000	 V 			21,390	210347	0,713	0,000	1,745	1,012	0	0	0,000	0,000
87	35,598	35,563	35,744	122214	15005	8,145	0,000	 V 			21,457	64018	2,343	0,000	0,242	1,003	0	0	0,000	0,000
88	35,855	35,744	35,989	131640	10638	12,374	0,000	 V 			21,618	48967	3,063	0,000	0,423	1,008	0	0	0,000	0,000
89	36,042	35,989	36,107	48256	7068	6,827	0,000	 V 			21,736	1195	125,540	0,000	0,078	1,005	0	0	0,000	0,000
90	36,340	36,107	36,491	150654	7942	18,968	0,000	 V 			21,925	15437	9,717	0,000	0,112	1,009	0	0	0,000	0,000
91	36,792	36,491	36,917	99852	3913	25,517	0,000	 V 			22,210	541	277,155	0,000	0,120	1,013	0	0	0,000	0,000
92	37,050	36,917	37,163	35923	3213	11,180	0,000	 V 			22,373	138608	1,082	0,000	0,077	1,007	0	0	0,000	0,000
93	37,237	37,163	37,397	11606	1374	8,447	0,000	 V 			22,490	18995	7,897	0,000	0,253	1,005	0	0	0,000	0,000
94	38,924	38,677	40,000	1045451	36944	28,298	0,000	   			23,555	356266	0,421	3,092	2,515	1,047	0	0	0,000	0,000

[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      4690
Interval(msec)	640
Start Time(min)	0
End Time(min)	50,016
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	254
Bandwidth(nm)	4
R.Time (min)	Intensity
0,00000	0
0,01067	0
0,02133	0
0,03200	0
0,04267	0
0,05333	0
0,06400	0
0,07467	0
0,08533	0
0,09600	0
0,10667	0
0,11733	12
0,12800	4
0,13867	8
0,14933	-2
0,16000	0
0,17067	2
0,18133	6
0,19200	6
0,20267	7
0,21333	15
0,22400	0
0,23467	-1
0,24533	-3
0,25600	-6
0,26667	1
0,27733	6
0,28800	3
0,29867	5
0,30933	5
0,32000	-1
0,33067	-0
0,34133	-0
0,35200	-1
0,36267	-3
0,37333	1
0,38400	1
0,39467	8
0,40533	10
0,41600	2
0,42667	5
0,43733	-0
0,44800	1
0,45867	-3
0,46933	-3
0,48000	0
0,49067	-3
0,50133	1
0,51200	-5
0,52267	-2
0,53333	-3
0,54400	-1
0,55467	-7
0,56533	5
0,57600	-7
0,58667	-5
0,59733	-2
0,60800	-11
0,61867	-12
0,62933	-1
0,64000	-4
0,65067	-3
0,66133	-4
0,67200	1
0,68267	-2
0,69333	-1
0,70400	-2
0,71467	-11
0,72533	-12
0,73600	-3
0,74667	1
0,75733	-2
0,76800	-4
0,77867	-5
0,78933	-4
0,80000	-4
0,81067	-7
0,82133	-2
0,83200	-5
0,84267	-5
0,85333	-8
0,86400	-5
0,87467	-5
0,88533	3
0,89600	2
0,90667	-2
0,91733	-2
0,92800	3
0,93867	3
0,94933	-1
0,96000	0
0,97067	-1
0,98133	2
0,99200	-1
1,00267	-4
1,01333	-8
1,02400	-2
1,03467	0
1,04533	-2
1,05600	4
1,06667	3
1,07733	1
1,08800	2
1,09867	0
1,10933	-2
1,12000	-7
1,13067	-2
1,14133	4
1,15200	11
1,16267	14
1,17333	40
1,18400	67
1,19467	87
1,20533	115
1,21600	159
1,22667	194
1,23733	242
1,24800	283
1,25867	328
1,26933	382
1,28000	444
1,29067	513
1,30133	592
1,31200	697
1,32267	809
1,33333	947
1,34400	1111
1,35467	1274
1,36533	1443
1,37600	1610
1,38667	1779
1,39733	1966
1,40800	2181
1,41867	2437
1,42933	2746
1,44000	3123
1,45067	3576
1,46133	4152
1,47200	4923
1,48267	5803
1,49333	6700
1,50400	7521
1,51467	8318
1,52533	9177
1,53600	10132
1,54667	11184
1,55733	12205
1,56800	13010
1,57867	13441
1,58933	13476
1,60000	13203
1,61067	12788
1,62133	12402
1,63200	12086
1,64267	11753
1,65333	11253
1,66400	10503
1,67467	9587
1,68533	8731
1,69600	8206
1,70667	8197
1,71733	9001
1,72800	11177
1,73867	15594
1,74933	21492
1,76000	25547
1,77067	26082
1,78133	24418
1,79200	22535
1,80267	21561
1,81333	21592
1,82400	22147
1,83467	22741
1,84533	23005
1,85600	22805
1,86667	22161
1,87733	21232
1,88800	20180
1,89867	19141
1,90933	18271
1,92000	17648
1,93067	17291
1,94133	17042
1,95200	16726
1,96267	16230
1,97333	15577
1,98400	14888
1,99467	14365
2,00533	14176
2,01600	14644
2,02667	16345
2,03733	19929
2,04800	25729
2,05867	33017
2,06933	40256
2,08000	45677
2,09067	48273
2,10133	48002
2,11200	45577
2,12267	42071
2,13333	38469
2,14400	35457
2,15467	33287
2,16533	31844
2,17600	30818
2,18667	29872
2,19733	28839
2,20800	27731
2,21867	26687
2,22933	25774
2,24000	24933
2,25067	24005
2,26133	22908
2,27200	21586
2,28267	20140
2,29333	18630
2,30400	17156
2,31467	15756
2,32533	14508
2,33600	13434
2,34667	12547
2,35733	11841
2,36800	11287
2,37867	10817
2,38933	10410
2,40000	10082
2,41067	9832
2,42133	9692
2,43200	9660
2,44267	9711
2,45333	9805
2,46400	9890
2,47467	9933
2,48533	9893
2,49600	9778
2,50667	9594
2,51733	9360
2,52800	9119
