[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\SCIFFEE 2.lcd
Output Date	27/02/2025
Output Time	03:03:57

[File Information]
Type	Data File
Generated	27/02/2025 02:13:30
Generated by	System Administrator
Modified	27/02/2025 03:03:57
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27/02/2025 02:13:54
Sample Type	0:Unknown
Level	0
Sample Name	SCIFFEE 2
Sample ID	SCIFFEE 2
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	22
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\SCIFFEE 2.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	84
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,673	1,291	1,813	2927107	395636	7,398	0,000	   			0,000	1052	142,648	0,000	0,000	0,000	0	0	0,000	0,000
2	1,866	1,813	2,016	493162	74236	6,643	0,000	 V 			0,115	1269	118,234	0,000	0,927	0,000	0	0	0,000	0,000
3	2,175	2,016	2,443	600815	53294	11,274	0,000	 V 			0,300	744	201,643	0,000	1,171	2,606	0	0	0,000	0,000
4	2,636	2,443	2,805	413556	50548	8,181	0,000	 V 			0,576	2549	58,839	0,000	1,746	1,918	0	0	0,000	0,000
5	2,901	2,805	3,104	109147	8049	13,560	0,000	 V 			0,734	339	442,883	0,000	0,632	1,275	0	0	0,000	0,000
6	3,285	3,104	3,467	114121	7284	15,667	0,000	 V 			0,964	659	227,490	0,000	0,672	1,312	0	0	0,000	0,000
7	3,523	3,467	3,637	36340	4998	7,270	0,000	 V 			1,106	1536	97,676	0,000	0,547	1,148	0	0	0,000	0,000
8	3,800	3,637	4,043	70038	4544	15,414	0,000	 V 			1,272	1275	117,606	0,000	0,706	1,150	0	0	0,000	0,000
9	4,324	4,043	4,736	110022	5138	21,412	0,000	 V 			1,585	1076	139,403	0,000	1,099	1,246	0	0	0,000	0,000
10	4,832	4,736	4,917	6679	638	10,466	0,000	 V 			1,888	0	0,000	0,000	0,000	1,192	0	0	0,000	0,000
11	5,116	4,917	5,344	17922	1167	15,352	0,000	 V 			2,058	2247	66,755	0,000	0,000	1,090	0	0	0,000	0,000
12	5,506	5,344	5,611	2178	243	8,980	0,000	 V 			2,291	8541	17,562	0,000	1,165	1,113	0	0	0,000	0,000
13	5,803	5,621	5,856	4059	481	8,447	0,000	   			2,469	3451	43,460	0,000	0,937	1,077	0	0	0,000	0,000
14	6,052	5,856	6,240	155497	12750	12,196	0,000	 V 			2,618	4961	30,238	0,000	0,675	1,060	0	0	0,000	0,000
15	6,429	6,240	6,709	281783	23532	11,975	0,000	 V 			2,843	6337	23,672	0,000	1,131	1,086	0	0	0,000	0,000
16	6,907	6,709	7,008	12937	820	15,771	0,000	 V 			3,129	1522	98,544	0,000	0,927	1,100	0	0	0,000	0,000
