[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\SCIFFEE 3.lcd
Output Date	27/02/2025
Output Time	00:32:32

[File Information]
Type	Data File
Generated	26/02/2025 23:42:04
Generated by	System Administrator
Modified	27/02/2025 00:32:31
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	26/02/2025 23:42:29
Sample Type	0:Unknown
Level	0
Sample Name	SCIFFEE 3
Sample ID	SCIFFEE 3
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	19
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\SCIFFEE 3.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	87
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,673	1,259	1,813	2580065	345789	7,461	0,000	   			0,000	1036	144,796	0,000	0,000	0,000	0	0	0,000	0,000
2	1,866	1,813	2,016	436663	64891	6,729	0,000	 V 			0,115	1215	123,436	0,000	0,915	0,000	0	0	0,000	0,000
3	2,176	2,016	2,432	538059	47227	11,393	0,000	 V 			0,301	716	209,496	0,000	1,150	2,605	0	0	0,000	0,000
4	2,641	2,432	2,805	368936	43083	8,563	0,000	 V 			0,579	2480	60,475	0,000	1,730	1,924	0	0	0,000	0,000
5	2,908	2,805	3,104	107653	7646	14,080	0,000	 V 			0,738	263	570,006	0,000	0,574	1,275	0	0	0,000	0,000
6	3,295	3,104	3,477	119051	7136	16,683	0,000	 V 			0,970	538	278,882	0,000	0,603	1,314	0	0	0,000	0,000
7	3,524	3,477	3,637	37587	5140	7,313	0,000	 V 			1,107	879	170,656	0,000	0,439	1,141	0	0	0,000	0,000
8	3,809	3,637	4,043	84887	4914	17,274	0,000	 V 			1,277	834	179,836	0,000	0,568	1,154	0	0	0,000	0,000
9	4,339	4,043	4,768	148052	5485	26,991	0,000	 V 			1,594	440	340,557	0,000	0,783	1,248	0	0	0,000	0,000
10	5,128	4,768	5,344	71114	2489	28,575	0,000	 V 			2,065	13	11445,983	0,000	0,243	1,296	0	0	0,000	0,000
11	5,515	5,344	5,611	28828	1898	15,186	0,000	 V 			2,297	112	1336,438	0,000	0,100	1,112	0	0	0,000	0,000
12	5,813	5,611	5,867	31249	2295	13,617	0,000	 V 			2,475	57	2632,355	0,000	0,115	1,078	0	0	0,000	0,000
13	6,064	5,867	6,251	180602	13125	13,760	0,000	 V 			2,625	3744	40,065	0,000	0,144	1,060	0	0	0,000	0,000
14	6,442	6,251	6,709	306444	22702	13,499	0,000	 V 			2,851	5330	28,144	0,000	1,010	1,086	0	0	0,000	0,000
15	6,910	6,709	7,029	59851	3264	18,339	0,000	 V 			3,130	111	1345,398	0,000	0,315	1,098	0	0	0,000	0,000
16	7,275	7,029	7,488	127877	5561	22,995	0,000	 V 			3,349	340	440,670	0,000	0,174	1,070	0	0	0,000	0,000
17	7,656	7,488	7,936	141243	6269	22,529	0,000	 V 			3,576	603	248,855	0,000	0,270	1,068	0	0	0,000	0,000
18	8,247	7,936	8,768	450106	14964	30,079	0,000	 V 			3,930	2071	72,442	0,000	0,600	1,099	0	0	0,000	0,000
19	9,045	8,768	9,451	403874	18782	21,503	0,000	 V 			4,407	5986	25,060	0,000	1,337	1,121	0	0	0,000	0,000
20	9,698	9,451	9,845	228509	13152	17,374	0,000	 V 			4,797	3620	41,441	0,000	1,175	1,089	0	0	0,000	0,000
21	9,877	9,845	10,197	165860	9529	17,406	0,000	 V 			4,904	56	2687,925	0,000	0,060	1,022	0	0	0,000	0,000
22	10,516	10,197	10,784	724766	47491	15,261	0,000	 V 			5,286	12741	11,773	0,000	0,225	1,078	0	0	0,000	0,000
23	10,848	10,784	10,933	73228	8409	8,709	0,000	 V 			5,485	140	1068,542	0,000	0,165	1,038	0	0	0,000	0,000
24	11,189	10,933	13,024	4997759	362099	13,802	0,000	SV 			5,688	22013	6,814	1,191	0,172	1,037	0	0	0,000	0,000
25	11,856	11,744	11,936	2066	284	7,281	0,000	T  			6,087	66222	2,265	0,859	2,745	1,070	0	0	0,000	0,000
26	12,235	11,968	12,405	78520	6805	11,539	0,000	T  			6,314	24603	6,097	0,000	1,530	1,037	0	0	0,000	0,000
27	12,651	12,405	12,704	49557	3344	14,821	0,000	TV 			6,562	1305	114,903	0,000	0,485	1,039	0	0	0,000	0,000
28	12,830	12,704	13,024	67129	6592	10,183	0,000	TV 			6,670	25212	5,950	0,000	0,208	1,016	0	0	0,000	0,000
