[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA VERDE 2.lcd
Output Date	27/02/2025
Output Time	04:44:56

[File Information]
Type	Data File
Generated	27/02/2025 03:54:28
Generated by	System Administrator
Modified	27/02/2025 04:44:55
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27/02/2025 03:54:53
Sample Type	0:Unknown
Level	0
Sample Name	CHA VERDE 2
Sample ID	CHA VERDE 2
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	24
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA VERDE 2.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	86
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,541	1,280	1,696	888493	71540	12,420	0,000	   			0,000	205	729,947	0,000	0,000	0,000	0	0	0,000	0,000
2	1,752	1,696	1,995	554314	66683	8,313	0,000	 V 			0,137	1247	120,336	0,000	0,670	0,000	0	0	0,000	0,000
3	2,087	1,995	2,219	580611	77355	7,506	0,000	 V 			0,354	1437	104,404	0,000	1,602	2,594	0	0	0,000	0,000
4	2,303	2,219	2,549	479575	41252	11,626	0,000	 V 			0,494	643	233,116	0,000	0,739	1,395	0	0	0,000	0,000
5	2,638	2,549	2,720	145105	15607	9,298	0,000	 V 			0,712	113	1325,059	0,000	0,495	1,440	0	0	0,000	0,000
6	2,781	2,720	2,965	173340	15334	11,304	0,000	 V 			0,805	146	1025,252	0,000	0,150	1,131	0	0	0,000	0,000
7	3,025	2,965	3,093	59573	7920	7,522	0,000	 V 			0,963	22	6747,245	0,000	0,140	1,197	0	0	0,000	0,000
8	3,277	3,093	3,584	3825921	460873	8,301	0,000	 V 			1,126	3342	44,886	1,289	0,180	1,169	0	0	0,000	0,000
9	3,688	3,584	3,915	186132	11480	16,214	0,000	 V 			1,393	233	642,462	0,000	0,690	1,237	0	0	0,000	0,000
10	4,347	3,915	5,003	1015831	61768	16,446	0,000	SV 			1,821	2842	52,780	0,000	1,021	1,307	0	0	0,000	0,000
11	4,874	4,757	4,971	3249	449	7,234	0,000	T  			2,163	9626	15,583	0,928	2,007	1,188	0	0	0,000	0,000
12	5,257	5,003	5,429	113122	5074	22,295	0,000	 V 			2,411	293	511,094	0,000	0,537	1,115	0	0	0,000	0,000
13	5,494	5,429	5,611	37179	3569	10,418	0,000	 V 			2,565	49	3053,499	0,000	0,109	1,064	0	0	0,000	0,000
14	6,049	5,611	6,123	156982	7512	20,898	0,000	 V 			2,925	124	1212,549	0,000	0,209	1,140	0	0	0,000	0,000
15	6,406	6,123	6,624	599145	42767	14,010	0,000	 V 			3,156	5413	27,709	0,000	0,283	1,079	0	0	0,000	0,000
16	6,818	6,624	7,573	2397457	134298	17,852	0,000	 V 			3,424	4808	31,200	0,000	1,112	1,085	0	0	0,000	0,000
