[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA VERDE 1.lcd
Output Date	27/02/2025
Output Time	08:06:52

[File Information]
Type	Data File
Generated	27/02/2025 07:16:24
Generated by	System Administrator
Modified	27/02/2025 08:06:52
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27/02/2025 07:16:49
Sample Type	0:Unknown
Level	0
Sample Name	CHA VERDE 1
Sample ID	CHA VERDE 1
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	28
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA VERDE 1.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	86
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,542	1,280	1,696	929132	75471	12,311	0,000	   			0,000	203	737,766	0,000	0,000	0,000	0	0	0,000	0,000
2	1,754	1,696	1,995	577105	69776	8,271	0,000	 V 			0,138	1321	113,550	0,000	0,681	0,000	0	0	0,000	0,000
3	2,089	1,995	2,219	604753	81836	7,390	0,000	 V 			0,355	1483	101,123	0,000	1,631	2,571	0	0	0,000	0,000
4	2,306	2,219	2,549	501536	43014	11,660	0,000	 V 			0,496	753	199,108	0,000	0,787	1,398	0	0	0,000	0,000
5	2,642	2,549	2,720	150324	16268	9,241	0,000	 V 			0,714	129	1167,216	0,000	0,530	1,439	0	0	0,000	0,000
6	2,787	2,720	2,976	187828	15998	11,741	0,000	 V 			0,808	141	1062,611	0,000	0,155	1,132	0	0	0,000	0,000
7	3,036	2,976	3,104	61065	8108	7,532	0,000	 V 			0,969	22	6959,660	0,000	0,140	1,199	0	0	0,000	0,000
8	3,283	3,104	3,584	3997474	482643	8,282	0,000	 V 			1,130	3363	44,609	1,297	0,174	1,165	0	0	0,000	0,000
9	3,695	3,584	3,915	190561	11652	16,354	0,000	 V 			1,397	265	566,440	0,000	0,727	1,237	0	0	0,000	0,000
10	4,355	3,915	5,003	1050565	64108	16,387	0,000	SV 			1,825	2862	52,412	0,000	1,070	1,306	0	0	0,000	0,000
11	4,876	4,768	4,981	3608	507	7,118	0,000	T  			2,163	9244	16,227	0,987	1,972	1,185	0	0	0,000	0,000
12	5,274	5,003	5,451	122018	5265	23,174	0,000	 V 			2,421	319	470,574	0,000	0,575	1,119	0	0	0,000	0,000
13	5,496	5,451	5,632	38351	3721	10,307	0,000	 V 			2,565	53	2835,336	0,000	0,106	1,059	0	0	0,000	0,000
14	6,060	5,632	6,123	154488	7660	20,168	0,000	 V 			2,931	113	1324,272	0,000	0,213	1,143	0	0	0,000	0,000
15	6,417	6,123	6,635	631568	44966	14,045	0,000	 V 			3,162	5447	27,536	0,000	0,272	1,079	0	0	0,000	0,000
16	6,829	6,635	7,584	2252487	126621	17,789	0,000	 V 			3,430	4820	31,119	0,000	1,113	1,085	0	0	0,000	0,000
