[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA REAL.lcd
Output Date	26/02/2025
Output Time	23:42:03

[File Information]
Type	Data File
Generated	26/02/2025 22:51:34
Generated by	System Administrator
Modified	26/02/2025 23:42:03
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	26/02/2025 22:52:00
Sample Type	0:Unknown
Level	0
Sample Name	CHA REAL
Sample ID	CHA REAL
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	18
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA REAL.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	88
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
32	15,675	15,563	15,872	439382	27154	16,181	0,000	 V 			8,374	3158	47,494	0,000	0,656	1,035	0	0	0,000	0,000
33	16,109	15,872	16,619	1953573	118557	16,478	0,000	 V 			8,634	36148	4,150	0,000	0,597	1,031	0	0	0,000	0,000
34	17,163	16,619	17,440	1671410	67956	24,595	0,000	 V 			9,264	19208	7,809	0,000	2,528	1,073	0	0	0,000	0,000
35	17,601	17,440	17,707	423942	27971	15,156	0,000	 V 			9,526	841	178,395	0,000	0,300	1,028	0	0	0,000	0,000
36	17,890	17,707	18,165	863205	46034	18,752	0,000	 V 			9,699	16924	8,863	0,000	0,194	1,018	0	0	0,000	0,000
37	18,313	18,165	18,432	337312	21424	15,745	0,000	 V 			9,952	120	1251,780	0,000	0,117	1,026	0	0	0,000	0,000
38	18,834	18,432	19,051	1181436	52921	22,324	0,000	 V 			10,264	19996	7,501	0,000	0,144	1,031	0	0	0,000	0,000
39	19,217	19,051	19,467	656987	30298	21,684	0,000	 V 			10,492	3702	40,518	0,000	0,426	1,022	0	0	0,000	0,000
40	19,679	19,467	19,893	1550989	121963	12,717	0,000	 V 			10,769	58931	2,545	0,000	0,583	1,026	0	0	0,000	0,000
41	19,972	19,893	20,160	432562	30797	14,046	0,000	 V 			10,944	1799	83,400	0,000	0,265	1,016	0	0	0,000	0,000
42	20,394	20,160	20,928	5187471	436959	11,872	0,000	 V 			11,196	78664	1,907	1,580	0,388	1,023	0	0	0,000	0,000
43	21,111	20,928	21,216	379593	23548	16,120	0,000	 V 			11,625	2592	57,877	0,000	0,736	1,038	0	0	0,000	0,000
44	21,616	21,216	21,952	3582644	244126	14,675	0,000	 V 			11,927	65531	2,289	0,000	0,506	1,026	0	0	0,000	0,000
45	22,128	21,952	22,261	396527	23315	17,007	0,000	 V 			12,233	3882	38,637	0,000	0,582	1,026	0	0	0,000	0,000
46	22,437	22,261	22,560	365878	21214	17,247	0,000	 V 			12,418	822	182,588	0,000	0,136	1,015	0	0	0,000	0,000
47	22,784	22,560	23,125	2993188	244635	12,235	0,000	 V 			12,626	88311	1,699	0,000	0,202	1,017	0	0	0,000	0,000
48	23,282	23,125	23,509	476525	21780	21,879	0,000	 V 			12,923	1756	85,419	0,000	0,393	1,024	0	0	0,000	0,000
49	23,632	23,509	23,893	422676	22014	19,200	0,000	 V 			13,133	6956	21,565	0,000	0,209	1,016	0	0	0,000	0,000
50	24,157	23,893	24,523	1234747	68281	18,083	0,000	 V 			13,447	52289	2,869	0,000	0,675	1,024	0	0	0,000	0,000
51	24,675	24,523	24,843	311012	18975	16,390	0,000	 V 			13,757	12829	11,692	0,000	0,801	1,023	0	0	0,000	0,000
52	25,131	24,843	25,387	507130	19759	25,666	0,000	 V 			14,029	9637	15,566	0,000	0,481	1,020	0	0	0,000	0,000
53	25,591	25,387	25,664	232693	15666	14,854	0,000	 V 			14,304	3098	48,423	0,000	0,321	1,020	0	0	0,000	0,000
54	25,804	25,664	25,856	193694	17841	10,857	0,000	 V 			14,432	728	206,058	0,000	0,075	1,009	0	0	0,000	0,000
55	25,899	25,856	26,507	482317	17691	27,263	0,000	 V 			14,488	131	1145,719	0,000	0,015	1,004	0	0	0,000	0,000
56	26,699	26,507	26,752	144866	9985	14,509	0,000	 V 			14,967	32	4687,438	0,000	0,057	1,033	0	0	0,000	0,000
57	26,971	26,752	27,307	407849	17039	23,936	0,000	 V 			15,129	22640	6,625	0,000	0,028	1,011	0	0	0,000	0,000
