[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\MATE 3.lcd
Output Date	27/02/2025
Output Time	01:23:00

[File Information]
Type	Data File
Generated	27/02/2025 00:32:33
Generated by	System Administrator
Modified	27/02/2025 01:23:00
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27/02/2025 00:32:58
Sample Type	0:Unknown
Level	0
Sample Name	MATE 3
Sample ID	MATE 3
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	20
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\MATE 3.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	90
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,586	1,131	1,696	172174	14033	12,269	0,000	   			0,000	259	578,351	0,000	0,000	0,000	0	0	0,000	0,000
2	1,768	1,696	1,803	125061	27337	4,575	0,000	 V 			0,115	713	210,456	0,000	0,552	0,000	0	0	0,000	0,000
3	1,850	1,803	2,005	241634	24457	9,880	0,000	 V 			0,167	64	2358,300	0,000	0,138	1,452	0	0	0,000	0,000
4	2,096	2,005	2,432	667918	51612	12,941	0,000	 V 			0,322	716	209,581	0,000	0,396	1,931	0	0	0,000	0,000
5	2,478	2,432	2,571	77104	9905	7,785	0,000	 V 			0,562	32	4744,582	0,000	0,368	1,749	0	0	0,000	0,000
6	2,636	2,571	2,752	85876	8970	9,574	0,000	 V 			0,662	119	1261,019	0,000	0,116	1,178	0	0	0,000	0,000
7	2,898	2,752	3,275	522262	49739	10,500	0,000	 V 			0,827	2390	62,773	0,000	0,434	1,249	0	0	0,000	0,000
8	3,404	3,275	3,627	119881	7194	16,663	0,000	 V 			1,146	412	364,216	0,000	1,114	1,386	0	0	0,000	0,000
9	3,839	3,627	3,979	108852	7023	15,499	0,000	 V 			1,421	768	195,297	0,000	0,711	1,240	0	0	0,000	0,000
10	4,132	3,979	4,341	421505	48242	8,737	0,000	 V 			1,606	5070	29,588	0,000	0,745	1,130	0	0	0,000	0,000
11	4,479	4,341	4,587	97443	8336	11,689	0,000	 V 			1,825	1356	110,654	0,000	0,966	1,136	0	0	0,000	0,000
12	4,686	4,587	4,864	103938	9806	10,599	0,000	 V 			1,955	2729	54,970	0,000	0,488	1,071	0	0	0,000	0,000
13	5,024	4,864	5,205	59380	3203	18,536	0,000	 V 			2,168	275	544,740	0,000	0,431	1,109	0	0	0,000	0,000
14	5,505	5,205	5,877	165841	6323	26,229	0,000	 V 			2,471	1105	135,745	0,000	0,514	1,140	0	0	0,000	0,000
15	6,051	5,877	6,197	125285	11232	11,154	0,000	 V 			2,816	5899	25,427	0,000	1,117	1,139	0	0	0,000	0,000
16	6,436	6,197	6,699	3156249	285160	11,068	0,000	 V 			3,059	7321	20,488	1,118	1,252	1,086	0	0	0,000	0,000
