[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHIMARRAO 2.lcd
Output Date	27/02/2025
Output Time	03:54:27

[File Information]
Type	Data File
Generated	27/02/2025 03:03:59
Generated by	System Administrator
Modified	27/02/2025 03:54:26
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27/02/2025 03:04:23
Sample Type	0:Unknown
Level	0
Sample Name	CHIMARRAO 2
Sample ID	CHIMARRAO 2
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	23
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHIMARRAO 2.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	89
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
32	12,788	12,640	12,917	106115	8050	13,182	0,000	 V 			7,226	9329	16,079	0,000	0,116	1,018	0	0	0,000	0,000
33	13,194	12,917	19,435	10370059	427417	24,262	0,000	SV 			7,487	16038	9,353	2,934	0,858	1,036	0	0	0,000	0,000
34	14,258	14,080	14,464	95290	9393	10,145	0,000	T  			8,172	39386	3,808	1,069	3,025	1,091	0	0	0,000	0,000
35	14,721	14,464	14,869	51188	3440	14,881	0,000	T  			8,470	19922	7,529	0,000	1,313	1,036	0	0	0,000	0,000
36	15,039	14,869	15,221	87564	8508	10,292	0,000	TV 			8,674	45990	3,262	0,000	0,910	1,024	0	0	0,000	0,000
37	15,378	15,221	15,456	26808	2433	11,019	0,000	TV 			8,892	11276	13,302	0,000	0,789	1,025	0	0	0,000	0,000
38	15,657	15,456	15,840	105632	8157	12,949	0,000	TV 			9,072	29879	5,020	0,000	0,594	1,020	0	0	0,000	0,000
39	15,967	15,840	16,075	39312	3930	10,003	0,000	TV 			9,271	34192	4,387	0,000	0,876	1,022	0	0	0,000	0,000
40	16,247	16,075	16,427	76436	5275	14,490	0,000	TV 			9,452	22727	6,600	0,000	0,722	1,019	0	0	0,000	0,000
41	16,540	16,427	16,683	31558	2277	13,862	0,000	TV 			9,640	2553	58,754	0,000	0,337	1,020	0	0	0,000	0,000
42	16,845	16,683	16,928	39156	3263	11,998	0,000	TV 			9,836	12735	11,778	0,000	0,319	1,020	0	0	0,000	0,000
43	17,028	16,928	17,227	35812	3420	10,470	0,000	TV 			9,954	20542	7,302	0,000	0,342	1,012	0	0	0,000	0,000
44	17,678	17,227	18,059	215762	11298	19,097	0,000	T  			10,372	26464	5,668	0,000	1,428	1,042	0	0	0,000	0,000
45	18,133	18,059	18,283	17771	1791	9,921	0,000	TV 			10,664	8336	17,994	0,000	0,740	1,028	0	0	0,000	0,000
46	18,494	18,283	18,645	42063	3850	10,924	0,000	TV 			10,897	60431	2,482	0,000	0,661	1,022	0	0	0,000	0,000
47	18,741	18,645	18,848	5004	604	8,280	0,000	TV 			11,056	58234	2,576	0,000	0,807	1,015	0	0	0,000	0,000
48	19,287	18,859	19,424	78185	4677	16,718	0,000	T  			11,407	50195	2,988	0,661	1,667	1,032	0	0	0,000	0,000
49	19,653	19,435	19,883	2254193	207688	10,854	0,000	 V 			11,642	74902	2,003	0,000	1,157	1,021	0	0	0,000	0,000
50	20,007	19,883	20,128	302832	25564	11,846	0,000	 V 			11,870	25624	5,854	0,000	0,901	1,020	0	0	0,000	0,000
51	20,359	20,128	21,248	10430619	946375	11,022	0,000	SV 			12,097	82234	1,824	1,149	0,898	1,019	0	0	0,000	0,000
52	20,747	20,704	20,864	3799	647	5,875	0,000	T  			12,346	288198	0,520	1,858	1,767	1,021	0	0	0,000	0,000
53	21,109	20,907	21,248	56355	6429	8,765	0,000	T  			12,579	115210	1,302	0,881	1,799	1,019	0	0	0,000	0,000
54	21,585	21,248	21,931	4186742	329711	12,698	0,000	 V 			12,885	71733	2,091	0,981	1,665	1,024	0	0	0,000	0,000
55	22,093	21,931	22,219	240617	14538	16,551	0,000	 V 			13,212	125	1204,611	0,000	0,123	1,025	0	0	0,000	0,000
56	22,438	22,219	22,539	262448	14868	17,652	0,000	 V 			13,434	2666	56,270	0,000	0,071	1,017	0	0	0,000	0,000
57	22,764	22,539	23,115	4267961	377508	11,306	0,000	 V 			13,644	94666	1,585	1,263	0,321	1,016	0	0	0,000	0,000
58	23,239	23,115	23,456	252882	16194	15,616	0,000	 V 			13,949	20464	7,330	0,000	1,004	1,022	0	0	0,000	0,000
59	23,639	23,456	23,893	281384	15489	18,167	0,000	 V 			14,207	33063	4,537	0,000	0,683	1,018	0	0	0,000	0,000
60	24,158	23,893	24,491	1142132	81393	14,032	0,000	 V 			14,540	80067	1,873	0,000	1,204	1,023	0	0	0,000	0,000
61	24,661	24,491	24,843	303231	21229	14,284	0,000	 V 			14,864	51755	2,898	0,000	1,298	1,022	0	0	0,000	0,000
