[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHIMARRAO 1.lcd
Output Date	27/02/2025
Output Time	07:16:23

[File Information]
Type	Data File
Generated	27/02/2025 06:25:55
Generated by	System Administrator
Modified	27/02/2025 07:16:22
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27/02/2025 06:26:19
Sample Type	0:Unknown
Level	0
Sample Name	CHIMARRAO 1
Sample ID	CHIMARRAO 1
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	27
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHIMARRAO 1.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	89
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	1,555	1,131	1,707	304538	22420	13,583	0,000	   			0,000	267	562,518	0,000	0,000	0,000	0	0	0,000	0,000
2	1,764	1,707	1,984	332805	35614	9,345	0,000	 V 			0,134	1430	104,897	0,000	0,736	0,000	0	0	0,000	0,000
3	2,083	1,984	2,741	1151261	118773	9,693	0,000	SV 			0,339	1522	98,542	0,000	1,595	2,529	0	0	0,000	0,000
4	2,483	2,411	2,560	11981	2148	5,578	0,000	T  			0,597	3025	49,585	0,000	2,030	1,758	0	0	0,000	0,000
5	2,633	2,560	2,731	21383	4120	5,190	0,000	TV 			0,693	4152	36,125	0,000	0,872	1,162	0	0	0,000	0,000
6	2,883	2,741	3,147	208307	16985	12,264	0,000	 V 			0,854	1684	89,088	0,000	1,124	1,232	0	0	0,000	0,000
7	3,369	3,147	3,616	139080	9793	14,201	0,000	 V 			1,166	1762	85,152	0,000	1,613	1,366	0	0	0,000	0,000
8	3,844	3,616	4,000	114850	8788	13,068	0,000	 V 			1,471	1728	86,814	0,000	1,376	1,262	0	0	0,000	0,000
9	4,125	4,000	4,576	154634	9010	17,163	0,000	 V 			1,652	2222	67,507	0,000	0,781	1,123	0	0	0,000	0,000
10	4,693	4,576	4,747	29373	3060	9,599	0,000	 V 			2,018	26	5662,743	0,000	0,284	1,221	0	0	0,000	0,000
11	4,836	4,747	4,907	30720	3298	9,314	0,000	 V 			2,110	67	2228,114	0,000	0,048	1,046	0	0	0,000	0,000
12	5,031	4,907	5,269	62978	3651	17,251	0,000	 V 			2,235	372	403,326	0,000	0,115	1,059	0	0	0,000	0,000
13	5,517	5,269	5,888	237229	16710	14,197	0,000	 V 			2,547	4172	35,950	0,000	0,702	1,140	0	0	0,000	0,000
14	6,067	5,888	6,133	42836	3882	11,035	0,000	 V 			2,901	701	214,100	0,000	0,873	1,139	0	0	0,000	0,000
15	6,398	6,133	6,699	13999834	1268384	11,038	0,000	 V 			3,114	7156	20,961	1,242	0,544	1,073	0	0	0,000	0,000
16	6,838	6,699	7,221	1587017	100383	15,810	0,000	 V 			3,396	5012	29,931	0,000	1,275	1,091	0	0	0,000	0,000
